redshift,000 total intrinsic [Gpc^{-1} yr^{-1}],000 chi>0.05 intrinsic fraction,000 chi>0.2 intrinsic fraction,000 chi>0.5 intrinsic fraction,000 total observed [yr^{-1}],000 chi>0.05 observed fraction,000 chi>0.2 observed fraction,000 chi>0.5 observed fraction,111 total intrinsic [Gpc^{-1} yr^{-1}],111 chi>0.05 intrinsic fraction,111 chi>0.2 intrinsic fraction,111 chi>0.5 intrinsic fraction,111 total observed [yr^{-1}],111 chi>0.05 observed fraction,111 chi>0.2 observed fraction,111 chi>0.5 observed fraction,211 total intrinsic [Gpc^{-1} yr^{-1}],211 chi>0.05 intrinsic fraction,211 chi>0.2 intrinsic fraction,211 chi>0.5 intrinsic fraction,211 total observed [yr^{-1}],211 chi>0.05 observed fraction,211 chi>0.2 observed fraction,211 chi>0.5 observed fraction,311 total intrinsic [Gpc^{-1} yr^{-1}],311 chi>0.05 intrinsic fraction,311 chi>0.2 intrinsic fraction,311 chi>0.5 intrinsic fraction,311 total observed [yr^{-1}],311 chi>0.05 observed fraction,311 chi>0.2 observed fraction,311 chi>0.5 observed fraction,112 total intrinsic [Gpc^{-1} yr^{-1}],112 chi>0.05 intrinsic fraction,112 chi>0.2 intrinsic fraction,112 chi>0.5 intrinsic fraction,112 total observed [yr^{-1}],112 chi>0.05 observed fraction,112 chi>0.2 observed fraction,112 chi>0.5 observed fraction,212 total intrinsic [Gpc^{-1} yr^{-1}],212 chi>0.05 intrinsic fraction,212 chi>0.2 intrinsic fraction,212 chi>0.5 intrinsic fraction,212 total observed [yr^{-1}],212 chi>0.05 observed fraction,212 chi>0.2 observed fraction,212 chi>0.5 observed fraction,312 total intrinsic [Gpc^{-1} yr^{-1}],312 chi>0.05 intrinsic fraction,312 chi>0.2 intrinsic fraction,312 chi>0.5 intrinsic fraction,312 total observed [yr^{-1}],312 chi>0.05 observed fraction,312 chi>0.2 observed fraction,312 chi>0.5 observed fraction,113 total intrinsic [Gpc^{-1} yr^{-1}],113 chi>0.05 intrinsic fraction,113 chi>0.2 intrinsic fraction,113 chi>0.5 intrinsic fraction,113 total observed [yr^{-1}],113 chi>0.05 observed fraction,113 chi>0.2 observed fraction,113 chi>0.5 observed fraction,213 total intrinsic [Gpc^{-1} yr^{-1}],213 chi>0.05 intrinsic fraction,213 chi>0.2 intrinsic fraction,213 chi>0.5 intrinsic fraction,213 total observed [yr^{-1}],213 chi>0.05 observed fraction,213 chi>0.2 observed fraction,213 chi>0.5 observed fraction,313 total intrinsic [Gpc^{-1} yr^{-1}],313 chi>0.05 intrinsic fraction,313 chi>0.2 intrinsic fraction,313 chi>0.5 intrinsic fraction,313 total observed [yr^{-1}],313 chi>0.05 observed fraction,313 chi>0.2 observed fraction,313 chi>0.5 observed fraction,121 total intrinsic [Gpc^{-1} yr^{-1}],121 chi>0.05 intrinsic fraction,121 chi>0.2 intrinsic fraction,121 chi>0.5 intrinsic fraction,121 total observed [yr^{-1}],121 chi>0.05 observed fraction,121 chi>0.2 observed fraction,121 chi>0.5 observed fraction,221 total intrinsic [Gpc^{-1} yr^{-1}],221 chi>0.05 intrinsic fraction,221 chi>0.2 intrinsic fraction,221 chi>0.5 intrinsic fraction,221 total observed [yr^{-1}],221 chi>0.05 observed fraction,221 chi>0.2 observed fraction,221 chi>0.5 observed fraction,321 total intrinsic [Gpc^{-1} yr^{-1}],321 chi>0.05 intrinsic fraction,321 chi>0.2 intrinsic fraction,321 chi>0.5 intrinsic fraction,321 total observed [yr^{-1}],321 chi>0.05 observed fraction,321 chi>0.2 observed fraction,321 chi>0.5 observed fraction,122 total intrinsic [Gpc^{-1} yr^{-1}],122 chi>0.05 intrinsic fraction,122 chi>0.2 intrinsic fraction,122 chi>0.5 intrinsic fraction,122 total observed [yr^{-1}],122 chi>0.05 observed fraction,122 chi>0.2 observed fraction,122 chi>0.5 observed fraction,222 total intrinsic [Gpc^{-1} yr^{-1}],222 chi>0.05 intrinsic fraction,222 chi>0.2 intrinsic fraction,222 chi>0.5 intrinsic fraction,222 total observed [yr^{-1}],222 chi>0.05 observed fraction,222 chi>0.2 observed fraction,222 chi>0.5 observed fraction,322 total intrinsic [Gpc^{-1} yr^{-1}],322 chi>0.05 intrinsic fraction,322 chi>0.2 intrinsic fraction,322 chi>0.5 intrinsic fraction,322 total observed [yr^{-1}],322 chi>0.05 observed fraction,322 chi>0.2 observed fraction,322 chi>0.5 observed fraction,123 total intrinsic [Gpc^{-1} yr^{-1}],123 chi>0.05 intrinsic fraction,123 chi>0.2 intrinsic fraction,123 chi>0.5 intrinsic fraction,123 total observed [yr^{-1}],123 chi>0.05 observed fraction,123 chi>0.2 observed fraction,123 chi>0.5 observed fraction,223 total intrinsic [Gpc^{-1} yr^{-1}],223 chi>0.05 intrinsic fraction,223 chi>0.2 intrinsic fraction,223 chi>0.5 intrinsic fraction,223 total observed [yr^{-1}],223 chi>0.05 observed fraction,223 chi>0.2 observed fraction,223 chi>0.5 observed fraction,323 total intrinsic [Gpc^{-1} yr^{-1}],323 chi>0.05 intrinsic fraction,323 chi>0.2 intrinsic fraction,323 chi>0.5 intrinsic fraction,323 total observed [yr^{-1}],323 chi>0.05 observed fraction,323 chi>0.2 observed fraction,323 chi>0.5 observed fraction,131 total intrinsic [Gpc^{-1} yr^{-1}],131 chi>0.05 intrinsic fraction,131 chi>0.2 intrinsic fraction,131 chi>0.5 intrinsic fraction,131 total observed [yr^{-1}],131 chi>0.05 observed fraction,131 chi>0.2 observed fraction,131 chi>0.5 observed fraction,231 total intrinsic [Gpc^{-1} yr^{-1}],231 chi>0.05 intrinsic fraction,231 chi>0.2 intrinsic fraction,231 chi>0.5 intrinsic fraction,231 total observed [yr^{-1}],231 chi>0.05 observed fraction,231 chi>0.2 observed fraction,231 chi>0.5 observed fraction,331 total intrinsic [Gpc^{-1} yr^{-1}],331 chi>0.05 intrinsic fraction,331 chi>0.2 intrinsic fraction,331 chi>0.5 intrinsic fraction,331 total observed [yr^{-1}],331 chi>0.05 observed fraction,331 chi>0.2 observed fraction,331 chi>0.5 observed fraction,132 total intrinsic [Gpc^{-1} yr^{-1}],132 chi>0.05 intrinsic fraction,132 chi>0.2 intrinsic fraction,132 chi>0.5 intrinsic fraction,132 total observed [yr^{-1}],132 chi>0.05 observed fraction,132 chi>0.2 observed fraction,132 chi>0.5 observed fraction,232 total intrinsic [Gpc^{-1} yr^{-1}],232 chi>0.05 intrinsic fraction,232 chi>0.2 intrinsic fraction,232 chi>0.5 intrinsic fraction,232 total observed [yr^{-1}],232 chi>0.05 observed fraction,232 chi>0.2 observed fraction,232 chi>0.5 observed fraction,332 total intrinsic [Gpc^{-1} yr^{-1}],332 chi>0.05 intrinsic fraction,332 chi>0.2 intrinsic fraction,332 chi>0.5 intrinsic fraction,332 total observed [yr^{-1}],332 chi>0.05 observed fraction,332 chi>0.2 observed fraction,332 chi>0.5 observed fraction,133 total intrinsic [Gpc^{-1} yr^{-1}],133 chi>0.05 intrinsic fraction,133 chi>0.2 intrinsic fraction,133 chi>0.5 intrinsic fraction,133 total observed [yr^{-1}],133 chi>0.05 observed fraction,133 chi>0.2 observed fraction,133 chi>0.5 observed fraction,233 total intrinsic [Gpc^{-1} yr^{-1}],233 chi>0.05 intrinsic fraction,233 chi>0.2 intrinsic fraction,233 chi>0.5 intrinsic fraction,233 total observed [yr^{-1}],233 chi>0.05 observed fraction,233 chi>0.2 observed fraction,233 chi>0.5 observed fraction,333 total intrinsic [Gpc^{-1} yr^{-1}],333 chi>0.05 intrinsic fraction,333 chi>0.2 intrinsic fraction,333 chi>0.5 intrinsic fraction,333 total observed [yr^{-1}],333 chi>0.05 observed fraction,333 chi>0.2 observed fraction,333 chi>0.5 observed fraction
0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
